id;document;content;codes
10:02;s1_r10;Not really, I am already overflown by notifications. I need less of them.;"1-notifications are not useful
1-notifications frequency is a concern
concept-Notification Load
s1_q2"
10:05;s1_r10;Functional, performance and security issues and esp the ones reported by customers will always have higher prio.;1-td issues does not have extra priority
10:06;s1_r10;No, it would probably depriorize issues marked in such a way;1-generic td label is useful for prioritization
11:01;s1_r11;Not useful for me, as I'd not trust the bot to properly label the issue by simply looking at the description.;"1-generic td label is not useful for prioritization
1-the label quality is a concern
concept-Tool Quality
s1_q1"
11:02;s1_r11;standard Jira notifications are enough from my experience;"1-there is already a solution for notifying people
s1_q2"
11:03;s1_r11;Yes, but it's unrelated to the bot described in this section.;"concept-Context-Dependent Solution
concept-Contextual Factors
s1_q3"
13:03;s1_r13;maybe when technical debt achieve unacceptable threshold;"1-customization options are necessary
1-notifications are useful when a project reach a threshold
concept-Customization
s1_q3"
13:05;s1_r13;Considering that there is great diversity in a software development team, these tags help newcomers understand problems in their code;"1-generic td label usefulness depends on team/developer maturity
concept-Contextual Factors"
13:06;s1_r13;help leaders keep track of these types of problems.;1-generic td label can help keeping track of problems
13:08;s1_r13;then managers could be annoyed by notifications.;"1-notifications frequency is a concern
concept-Notification Load"
13:10;s1_r13;not much, notifications are good, but technical debt may be common, then managers could be annoyed by notifications;1-notifications are not useful
13:13;s1_r13;A good dashboard maybe is better;1-dashboard is an alternative to notifications
14:01;s1_r14;Yes, based on the issue category we can have different SLAs and also have a dashboard to report data both internally or to the client (external).;"1-generic td label is useful for prioritization
1-generic td label may help creating dashboards
s1_q1"
14:02;s1_r14;Yes, it can be an e-mail or a message in Slack (or any other similar tool).;"1-notifications are useful
s1_q2"
14:11;s1_r14;it can be an e-mail;1-notifications can be sent by e-mail
14:12;s1_r14;a message in Slack (or any other similar tool).;1-notifications can be sent using instant message services
15:01;s1_r15;"Sim, seria muito útil. No entanto, eu exergo que vem uma questão depois disso: o que o time de Engenharia está priorizando no momento? Um cenário para entender: no segundo semestre do ano passado o TD que estava sendo priorizado no Nubank era que cada time desenhasse a arquitetura de seus microserviços usando o C4 model. Então qualquer report de technical debt sobre código, deployment, teste, etc.. estava sendo ""não priorizado"". Só estou contando esse exemplo porque (eu não sei como você vai usar essa informação, de repente, num paper) seria interessante ligar a esse fato, de que sim, seria muito útil, desde que esteja alinhado às prioridades de TD naquele momento. Se não, vai virar só um card no Jira que vai ficar lá até não sei quando (kkkkkk - e isso acontece muito).";"1-generic td label is useful for prioritization
s1_q1"
15:02;s1_r15;Sim, principalmente para o developer (o developer, num cenário de Continuous Software Engineering, por exemplo, tem muita autonomia). Menos uma coisa pro manager se preocupar.;"1-notifications are useful
concept-Customization
s1_q2"
15:06;s1_r15;Menos uma coisa pro manager se preocupar.;1-notifications may help reduce managers workload
15:08;s1_r15;"Um cenário para entender: no segundo semestre do ano passado o TD que estava sendo priorizado no Nubank era que cada time desenhasse a arquitetura de seus microserviços usando o C4 model. Então qualquer report de technical debt sobre código, deployment, teste, etc.. estava sendo ""não priorizado"".";concept-Contextual Factors
15:10;s1_r15;Só estou contando esse exemplo porque (eu não sei como você vai usar essa informação, de repente, num paper) seria interessante ligar a esse fato, de que sim, seria muito útil, desde que esteja alinhado às prioridades de TD naquele momento.;concept-Context-Dependent Solution
16:01;s1_r16;Sim, pois nem sempre o desenvolvedor tem o contexto completo do sistema.;"1-generic td label is useful for prioritization
s1_q1"
16:02;s1_r16;Não necessariamente, pois mesmo com uma notificação, um p.o/analista/gerente deve fazer uma independete antes de autorizar a execução da tarefa.;"1-issue triage/prioritizartion must to involve humans
concept-Human Intervention
s1_q2"
16:03;s1_r16;Em manutenções corretivas de urgência.;"1-notifications should be sent to drive immediate actons
concept-Contextual Factors
s1_q3"
16:05;s1_r16;Não necessariamente;1-notifications are not useful
17:01;s1_r17;Yes. Labels can help to categorize the issues and prioritize;"1-generic td label is useful for categorization
1-generic td label is useful for prioritization
concept-Information Abstraction
s1_q1"
17:02;s1_r17;Yes. They need to get instant the message and understand the priority;"1-notifications are useful
1-notifications should be sent to drive immediate actons
s1_q2"
18:01;s1_r18;"Certainly, it is useful. I believe that if the bot receives appropriate ""training,"" it can assist in issue prioritization.";"1-generic td label is useful for prioritization
s1_q1"
18:03;s1_r18;As I previously mentioned, reaching a threshold can be considered a critical situation? If so, then the feature is useful.;"1-notifications are useful when a project reach a threshold
1-notifications should be sent to drive immediate actons
s1_q3"
18:06;s1_r18;"I believe that if the bot receives appropriate ""training,"" it can assist in issue prioritization.";"1-the label quality is a concern
concept-Tool Quality"
18:08;s1_r18;This is a matter I consider highly context-dependent. Notification would be very useful in critical scenarios that require immediate actions.;"1-notification/label is context-dependent
concept-Contextual Factors"
18:09;s1_r18;Notification would be very useful in critical scenarios that require immediate actions.;"1-notifications should be sent to drive immediate actons
concept-Contextual Factors"
18:10;s1_r18;Otherwise, I don't find it as useful because issues are typically monitored with some frequency in software development projects.;"1-issue prioritization does not need immediate attention
1-issue triage/prioritizartion must to involve humans
concept-Human Intervention"
18:17;s1_r18;This is a matter I consider highly context-dependent.;concept-Context-Dependent Solution
19:01;s1_r19;Yes, since, normaly, technical debt issues don't need to be addressed urgently.;"1-generic td label is useful for prioritization
s1_q1"
19:02;s1_r19;Yes, because at the moment of issue creation more information can be added by the other members of the team.;"1-notifications are useful
s1_q2"
19:04;s1_r19;technical debt issues don't need to be addressed urgently.;1-td issues does not have extra priority
19:06;s1_r19;because at the moment of issue creation more information can be added by the other members of the team.;1-other team meambers can add info about an issue
20:01;s1_r20;It very much depends on what you are using Jira for, how you are using Jira and/or if you are using Jira at all.;"1-notification/label is context-dependent
concept-Contextual Factors
s1_q1"
20:02;s1_r20;Probably not as there is a high risk that you are flooded with notifications and notification will soon be lost if you does not tackle it immediately.;"1-notifications are not useful
1-notifications frequency is a concern
1-notifications should be sent to drive immediate actons
concept-Notification Load"
20:04;s1_r20;"Still ""technical debt"" is subjective where on think it is is low whereas another think it is. But you anyway will do changes ""close to"" subject you can anyway look at it.";"1-generic td label is not useful for prioritization
s1_q4"
21:01;s1_r21;Yes, I believe the labeling of the issues would help in the categorization of the problems that need tracking.;"1-generic td label can help keeping track of problems
1-generic td label is useful for categorization
concept-Information Abstraction
s1_q1"
21:08;s1_r21;maybe just add a control so it doesn't notify for not so important labels?;"1-customization options are necessary
concept-Customization
concept-Notification Load"
21:09;s1_r21;Yes, depending on the label it would be cool,;1-notifications are useful
22:01;s1_r22;Yes. It would be easier to maintain a balance between working on new code vs tackling tech debt of old code.;"1-generic td label is useful for prioritization
s1_q1"
22:11;s1_r22;And even without instant notifications, when the issue is reviewed the message offering the label will be there as the last interaction.;"1-generic td label is useful for prioritization
1-messages in issues is a good interface"
22:12;s1_r22;You should be able to configure queries and notifications based on the labels, for example.;"1-customization options are necessary
concept-Customization"
22:13;s1_r22;but that would require a way to decline the offer too.;"1-customization options are necessary
concept-Customization
concept-Keep the Control"
22:14;s1_r22;The only scenario that I think might be useful is notifying about not addressed tickets,;1-notification are useful for not lingering tickets
22:15;s1_r22;the bot offering the label might be good to help teams that don't tackle tech debt yet, but it will end up adding cognitive load and noise to more mature teams.;"1-generic td label usefulness depends on team/developer maturity
concept-Contextual Factors"
22:18;s1_r22;I don't think so. Jira and other ticketing systems already have their own notification systems.;"1-notifications are not useful
1-there is already a solution for notifying people"
22:20;s1_r22;Interested stakeholders can monitor these;"1-customization options are necessary
1-notifications should be sent to interested people only
concept-Customization
concept-Notification Load"
22:21;s1_r22;but it will end up adding cognitive load and noise to more mature teams.;concept-Information Load
23:02;s1_r23;Yes, in my experience, tech debt tasks usually got lost in the backlog.;"1-notifications are useful
s1_q2"
23:03;s1_r23;The label would be useful to categorize tasks;1-generic td label is useful for prioritization
23:04;s1_r23;The label would be useful to categorize tasks, not so sure if it would be useful to define the tasks priority;1-generic td label is not useful for prioritization
23:05;s1_r23;tech debt tasks usually got lost in the backlog;"1-generic td label usefulness depends on team/developer maturity
concept-Contextual Factors"
23:07;s1_r23;The label would be useful to categorize tasks;"1-generic td label is useful for categorization
concept-Information Abstraction"
25:01:00;s1_r25;Yes, so the task can be done as soon as possible.;"1-generic td label is useful for prioritization
s1_q1"
25:02:00;s1_r25;Yes, that would make the team aware of the problem.;"1-notifications are useful
s1_q2"
25:05:00;s1_r25;Keeping track of tasks and specially technical debts can be hard sometimes,;1-generic td label can help keeping track of problems
25:06:00;s1_r25;having notifications of the issues and a good prioritization is a good way to manage it.;1-notifications are useful
26:01:00;s2_r1;In practice, I learned that lists of smells do not bring any value and only distract developers.;"2-lists of smells are not useful
s2_q1"
26:03:00;s2_r1;Neither, I wouldn't use such a dashboard.;"2-td dashboard is not useful
s2_q4"
26:04:00;s2_r1;"I believe the premise of ""code smells"" is deeply flawed and the whole idea ""code smell dashboard"" goes in the wrong direction.";"2-dashboard of code smells is not useful
s2_q6"
26:05:00;s2_r1;Suggestion would be good;2-suggestions of issues to be addressed are useful
26:06:00;s2_r1;but good suggestions are hard and I am yet to see a tool that does that.;"2-suggestions' quality is a concern
concept-Tool Quality"
26:07:00;s2_r1; practice, I learned that lists of smells do not bring any value and only distract developers.;"2-lists of smells distract developers/managers
concept-Information Load"
27:01:00;s2_r2;No, here I would be interested mainly in the trend, if it grows or decreases over time. Maybe a list of types and their number of appearance would be useful.;2-lists of smells are not useful
27:02:00;s2_r2;I doubt the tool can pick up the right items to address first.;"2-suggestions' quality is a concern
concept-Tool Quality
s2_q3"
27:04:00;s2_r2;I would be interested mainly in the trend, if it grows or decreases over time.;"2-presenting results over time is useful
concept-Information Abstraction"
27:05:00;s2_r2;Maybe a list of types and their number of appearance would be useful.;"2-group smells by type
concept-Information Abstraction"
28:01:00;s2_r3;Sure. This is basically visualizing linter results over time, which is nice to have.;"2-lists of smells are useful
2-presenting results over time is useful
s2_q1"
28:03:00;s2_r3;Don't care.;"2-td dashboard is not useful
s2_q4"
28:06:00;s2_r3;"Assuming ""code smells"" are specific linter results, then I'd expect some link to a description of the lint check";2-a link to the full report is useful
28:07:00;s2_r3;Some linting toolchains can just fix things, so they should do that.;2-tools that fix problems should do it
28:08:00;s2_r3;Prioritizing which ones to fix seems hard and likely to have false positives (e.g. you might think prioritizing security would be good, but gosec lint checks are almost always useless).;"2-suggestions' quality is a concern
concept-Tool Quality"
30:01:00;s2_r5;Code smell should not be allowed to enter the code base in the first place. This kind of dashboards is solving a wrong problem.;"2-code smells should not be inserted in the code base
s2_q6"
31:04:00;s2_r6;"Nothing that can't be handled now by JQL filter involving a label ;)";"2-there is already a solution for grouping issues
s2_q4"
31:05:00;s2_r6;Can't tell... Just usual information - created/reporter/...;"2-group issues by reporter
concept-Information Abstraction
s2_q5"
31:06:00;s2_r6;because code smells are handled well by some static code analyzers;2-static code analyzers are better to handle code smells
31:07:00;s2_r6;I'm a bit reluctant towards auto-labeling issues as Technical Debt.;"2-auto-labeling is a concern
concept-Tool Quality"
31:08:00;s2_r6;"I like the idea of ""issues without comments""";2-number of issues without comments may be useful
31:09:00;s2_r6;"""jira description smell""";2-bad issue description should be reported
31:10:00;s2_r6;group them by reporter;"2-group issues by reporter
concept-Information Abstraction"
31:11:00;s2_r6;But if the labeling involves humans, a Jira label would indeed be useful.;"2-labeling should be done buy humans
concept-Human Intervention
concept-Keep the Control"
31:12:00;s2_r6;Such tasks should rather (again - from my experience) not be prioritized - usually there's no pressure solving Technical Debt issues.;2-td issues have lower priority
31:13:00;s2_r6;"These are rather good candidates for ""hackatons"" where knowledge is shared between experienced and new developers.";2-td issues can be solved in hackatons
31:14:00;s2_r6;Working in a pair/team to solve such TD issue would be a great introduction to the code without changing usual release schedule.;2-solving issues in hackatons help to solve problems without changing the release schedule
31:15:00;s2_r6;This is highly context-dependent;"2-issue suggestions are context-dependent
concept-Context-Dependent Solution"
31:16:00;s2_r6;Humans are better (IMO) in prioritizing than bots.;"2-issue prioritization should be done by humans
concept-Human Intervention"
31:20:00;s2_r6;In my work, PMs have many jira dasboards groupping JIRAs per label, release, deadline, etc.;"concept-Contextual Factors
concept-Information Abstraction"
33:03:00;s2_r8;Yes;"2-suggestions of issues to be addressed are useful
s2_q3"
33:04:00;s2_r8;both are useful, but for different situations;"2-td dashboard is useful
s2_q4"
33:07:00;s2_r8;maybe displaying a list of smells could hinder visualizations of achieving their goal which is to alert the managers;2-lists of smells distract developers/managers
33:08:00;s2_r8;their goal which is to alert the managers;2-dashboards serve to alert managers
33:09:00;s2_r8;maybe a classification of which types of code smells are more common in each repository,;"2-group smells by type
concept-Information Abstraction"
33:10:00;s2_r8;But it would help managers to comprehend which are the weaknesses in their development team;"2-group smells by type
concept-Information Abstraction"
33:11:00;s2_r8;as a developer i would like to see which debts are most common,;"2-group td items by type
concept-Information Abstraction"
33:14:00;s2_r8;maybe displaying a list of smells could hinder visualizations of achieving their goal which is to alert the managers;concept-Information Load
34:04:00;s2_r9;Dedicated, to keep it simple and easy to communicate the status.;"2-dedicated td dashboard facilitates communication
s2_q4"
34:06:00;s2_r9;"Yes, but perhaps the ""top"" types of smells to keep the dashboard simple.";"2-group smells by type
concept-Information Abstraction"
34:07:00;s2_r9;It could be a categorized list.;2-group smells by type
34:08:00;s2_r9;Issue age;2-issue age
34:09:00;s2_r9;owner;2-issue owner
34:10:00;s2_r9;Yes, it helps to define priorities.;2-amount of issues with td is useful for prioritization
34:11:00;s2_r9;Yes;2-suggestions of issues to be addressed are useful
34:12:00;s2_r9;but based on severity and business impact. It would be useful to act faster and reduce the impacts on the application.;2-suggesting issues to be solved based on the business impact
34:13:00;s2_r9;Severity;2-severity of td should be present in a dedicated td dashboard
34:14:00;s2_r9;age;2-td age should be present in a dedicated td dashboard
34:15:00;s2_r9;business impact;2-business impact of td should be present in a dedicated td dashboard
34:17:00;s2_r9;It could be a categorized list.;concept-Information Abstraction
36:04:00;s2_r11;Both, I think that these two pieces of information are important for better maintenance, as it makes the code clean and more maintainable.;"2-dedicated td dashboard facilitates communication
2-dedicated td dashboard is useful
2-widget is useful
s2_q4"
36:05:00;s2_r11;The dashboard presented in my SonarQube already demonstrates important information to be used, such as the amount of code present in the system, percentage of code coverage and critical smells.;"2-sonarqube dashboard is enough
s2_q5"
36:07:00;s2_r11;Yes, I believe that the SonarQube should present the smells. One reason is that the SonarQube a crucial tool for enhancing code quality by identifying and eliminating code smells and verifying code coverage. It promotes cleaner and more maintainable code.;2-the list of smells should be consulted in sonarqube
36:08:00;s2_r11;Test code coverage;2-test code coverage could be combined with the amounts of issues with td
36:09:00;s2_r11;critical issues;2-critical issues should be combined with td issues
36:10:00;s2_r11;code metrics;2-code metrics should be combined with td issues
36:11:00;s2_r11;enabling them to provide comprehensive insights to clients;2-information about td can help in providing insights to clients
36:12:00;s2_r11;guide informed decision-making;2-information about td can support decision-making
36:13:00;s2_r11;As a technical leader, I think it is important to demonstrate mainly the files and not just the package, as it helps me to assist new development members in the process of creating cleaner code.;"2-organizing smells per file helps new development members
concept-Information Abstraction"
36:14:00;s2_r11;I think that is important when the SonarQube demonstrated where exist the code smell.;2-suggestions of issues to be addressed are useful
37:03:00;s2_r12;Yes, because that would bring more information about the origins of this issues as well insights on how to address it.;"2-suggestions of issues to be addressed are useful
s2_q3"
37:04:00;s2_r12;A widget in the existent dashboard would be better to preserve an holistic view of the software statistics.;"2-widget is useful
s2_q4"
37:05:00;s2_r12;because the package/file division would help on prioritize the issues on focusing the team efforts in specific parts of the software.;2-group code smells per package
37:06:00;s2_r12;Yes;2-group code smells per package
37:07:00;s2_r12;division would help on prioritize the issues on focusing the team efforts in specific parts of the software.;"2-group code smells per package
concept-Information Abstraction"
37:08:00;s2_r12;data of creation;2-issue age
37:09:00;s2_r12;traceability of other issues related with that package/file;"2-link to other issues relatd to same package/file
concept-Information Abstraction"
37:10:00;s2_r12;the traceability of other issues related with that package/file along the time, e.g., stories, bugs, and others.;2-presenting results over time is useful
37:11:00;s2_r12;holistic view of the software statistics.;2-multiples widgets presever holistic view
37:13:00;s2_r12;Yes;concept-Information Abstraction
37:18:00;s2_r12;because the package/file division would help on prioritize the issues on focusing the team efforts in specific parts of the software.;concept-Information Abstraction
38:06:00;s2_r13;A list with smells grouped by type;"2-group smells by type
concept-Information Abstraction"
38:07:00;s2_r13;sorted by occurrences would be better;2-sort smells by number of occurences
38:08:00;s2_r13;Time since the issue was open;2-issue age
38:09:00;s2_r13;technical debt criticality;2-severity of td should be present in a dedicated td dashboard
38:10:00;s2_r13;Yes, it would be useful if the dashboard present suggestions;2-suggestions of issues to be addressed are useful
38:11:00;s2_r13;however, the criteria used to select the issues is hardest part IMO.;"2-suggestions' quality is a concern
concept-Tool Quality"
38:12:00;s2_r13;Dedicated dashboard for technical debt;2-dedicated td dashboard is useful
38:13:00;s2_r13;it'll be clear to identify and read the information and I'll be able to go deeper on investigating the issues.;2-dedicated td dashboard facilitates communication
39:02:00;s2_r14;I think you need to provide a true cost/time impact of the smell. Money/time is the only thing that where I am employeed.;"2-business impact of td should be present in a dedicated td dashboard
s2_q2"
39:03:00;s2_r14;No clue really. It very much depends on the circunmstances and the general maturity of the organizations when it comes to technical debet.;"2-dashaboard/widget depends of the team's maturity to manage td
concept-Contextual Factors
s2_q4"
39:05:00;s2_r14;It must be organized by a larger element than a source cose file;"2-group code smells per package
concept-Information Abstraction"
39:06:00;s2_r14;and if you are having a hierarchic system-/product structure every hierarchical level should aggregate to the levels above.;2-group code smells by level
39:07:00;s2_r14;and if you are having a hierarchic system-/product structure every hierarchical level should aggregate to the levels above.;concept-Information Abstraction
40:04:00;s2_r15;Either works for me as I am comfortable switching between multiple tools in my workflow. Nonetheless, having everything into the same dashboard would be interesting.;"2-widget is useful
concept-Information Abstraction
s2_q4"
40:09:00;s2_r15;Prioritization is always a matter of what brings more value to the business (or open source project). Theoretically speaking, that would be the issue that has the highest amount of technical debt interest paid in the recent period and that has a high chance to accumulate  more interest in the near future.;"2-business impact of td should be present in a dedicated td dashboard
2-td interest could be combined"
40:14:00;s2_r15;Overall quality (as a % of the total possible, or as a rating);2-quality rate could be presented in a dedicated dashboard
40:15:00;s2_r15;trend (am I improving?);2-presenting results over time is useful
40:16:00;s2_r15;Every company has its own metrics and its own ways of keeping track of issues and technical debt (some don't even do it). Therefore I think it's very hard to find a solution that fits all.;"2-issue suggestions are context-dependent
2-no one-size-fits-all solution
concept-Context-Dependent Solution"
40:17:00;s2_r15;Moreover, even if you propose them a valid solution, they might not want to because it might alter their workflow.;concept-Workflow Consistency
40:28:00;s2_r15;"To me, the crucial information that needs to be present should answer to the question ""Where do I have to have a look at?""/""What's important right now?""/""What needs me?"".";"2-customization options are necessary
concept-Customization
concept-Information Load"
40:29:00;s2_r15;"1. New issues since last time I logged in;";2-new issues since last login
40:30:00;s2_r15;2. Number of issues with new comments;2-issues with new comments
40:31:00;s2_r15;Also, it would be nice to have a link to the issues in points 1 & 2 as well as in the dashboard.;2-a link to the full report is useful
40:32:00;s2_r15;The list of smells is strictly during the phase of development, whereas this dashboard looks more like just for monitoring.;2-list of smells help in development phase
40:33:00;s2_r15;. It would also be useful to have a view for each file what issue affects it. This could help identifying maintenance hotspots and solving multiple issues by refactoring 1 or 2 files (over multiple commits obviously).;"2-suggestions may help to identify maintainance hotspots
concept-Information Abstraction"
40:34:00;s2_r15;metrics on issues and TD;2-code metrics should be combined with td issues
40:35:00;s2_r15;Nonetheless, having everything into the same dashboard would be interesting.;concept-Workflow Consistency
41:02:00;s2_r16;I believe the time the issue was open is a good idea.;"2-issue age
s2_q2"
41:04:00;s2_r16;Depends on the UI, but if the UI isn't too bloated, maybe widgets and graph would be fine.;"2-widget is useful
s2_q4"
41:05:00;s2_r16;Yes, I believe a package/file organization would be easier to find,;"2-group code smells per package
concept-Information Abstraction"
41:06:00;s2_r16;but maybe the nesting would be a problem.;2-group code smells per package
41:07:00;s2_r16;Yes,;2-suggestions of issues to be addressed are useful
41:08:00;s2_r16;that would help the developer find the issues faster, so it would make the work flow better.;2-suggesting issues to be solved helps in productivity
41:09:00;s2_r16;but if the UI isn't too bloated;"2-how much info is presented in the UI is a concern
concept-Information Load"
41:10:00;s2_r16;but maybe the nesting would be a problem.;concept-Information Abstraction
42:01:00;s2_r17;A list, to get an overview of the problems.;"2-list of smells helps in overview
2-lists of smells are useful
s2_q1"
42:02:00;s2_r17;Who created technical debt.;"2-the issue author could be combined
s2_q2"
42:03:00;s2_r17;widgets, as it has greater flexibility.;"2-widget is useful
2-widgets are more flexible
s2_q4"
44:05:00;s2_r19;If you went out of your way to create a dashboard with information from SonarQube, I'd consider creating the dashboard in SonarQube directly instead.;"2-sonarqube dashboard is enough
2-the list of smells should be consulted in sonarqube
s2_q6"
44:06:00;s2_r19;A list grouped by package/file would be interesting to identify hotspots to be tackled first.;"2-suggestions may help to identify maintainance hotspots
concept-Information Abstraction"
44:07:00;s2_r19;The actual number would be less relevant here,;2-number of smells is not useful
44:08:00;s2_r19;the order of modules/packages/files with more smells would be the key information here.;"2-numer of issues per package
concept-Information Abstraction"
44:09:00;s2_r19;Age definitely helps here;2-issue age
44:10:00;s2_r19;Code smell that are older most likely are dealt with in a different way, through workarounds, better abstractions on top, tests that guarantees stability, etc.;2-older code smells demands more actions
44:11:00;s2_r19;Maybe you can create an algorithm to suggest a bite-sized list of smells that could be tackled next.;2-suggestins few smells to be solved is useful
44:12:00;s2_r19;But that depends a lot on which processes each team runs, and their capacity for technical debt repaying work.;"2-workflow
concept-Workflow Consistency"
44:13:00;s2_r19;A widget,;2-widget is useful
44:14:00;s2_r19;so technical debt information can be present in the main views at all times.;2-multiples widgets presever holistic view
44:16:00;s2_r19;Maybe you can create an algorithm to suggest a bite-sized list of smells that could be tackled next.;concept-Information Load
45:01:00;s2_r20;No, you have this data on sonarqube already.;"2-sonarqube dashboard is enough
2-the list of smells should be consulted in sonarqube
s2_q1"
45:02:00;s2_r20;The issues priority and points.;"2-issu priority
s2_q2"
45:03:00;s2_r20;It could be useful in certain scenarios.;"2-issue suggestions are context-dependent
concept-Context-Dependent Solution
s2_q3"
45:06:00;s2_r20;I think multiple widgets would do the trick;2-widget is useful
45:07:00;s2_r20;it’s easier than navigate between different dashboards for shared data.;2-multiple dashboars may be hard to navigate
45:08:00;s2_r20;the dashboard could get bloated if the number of repositories get too big;"2-how much info is presented in the UI is a concern
concept-Information Load"
45:09:00;s2_r20;but you could filter by an specific project;"2-customization options are necessary
concept-Customization"
46:05:00;s2_r21;Yes, i think it would be better if they are grouped by packages/files so we can identify where we have more code smells,;"2-suggestions may help to identify maintainance hotspots
concept-Information Abstraction"
